LOCATION,LOCATION2,PKEY,PKEY0,FRAMENUM,FRAMENUM0,SXFRAME,BARCODE,QUANTITY,MANUFACT,MODEL,FCOLOUR,SIZE,FRDESC,LOCATION3,STKTAKE,CHANGE,QTYAPPRO,QTY3,SUPBARCODE,ISTOCKCODE,SUPPLIER,SUPPLIER2,FRAMETYPE,FRAMEGROUP,TEMPLE,DEPTH,DIAG,BASECURVE,SUNGRX,FROTHER,FROTHER2,REORDDATE,REORDER,REORDQTY,RRP,EXLISTPR,LISTPRICE,EXCOSTPR,COSTPRICE,EXPREVCOST,PREVCOST,EXAVGCOST,AVGCOST,DPRECOST,DPREEXCOST,WSALEET,WSALEIT,APPORDER,LASTSALE2,LASTSALE,FIRSTPUR,LASTPUR,RETURNBY,DQTY,REFRESH,LASTINV,DISPC,TAXPC,FRSTATUS,FRSTATUS2,QTYONORDER,QTYONAPPRO,PHOTOEXT,PHOTONAME,LIFESTYLE,LIFECYCLE,RELEASE,AVAILFROM,AVAILTILL,FRANGE,SPH1,SPH2,CYL1,CYL2,MINPD,BASEC,SRVCHARGE,EXLISTSRV,LISTSRV,EXRRPSRV,RRPSRV,MODKEY,ORDERAGAIN,PROSUPPLY,PSSUPFIT,PSCREATED,PSUPDATEAT,USER,MODIFIED,DELFLAG,XFER,PROVISION,PVINACTIVE,LOGSTR,FGID,SUPSTATUS,LLABORDER,LDOWNLOAD,UUID,NOTE,PHOTO
OPT,,194839,,AVI000099,,,10300,1,Nano,CAMPER,3040148,48-14,,, , ,0,0,,,AVI,,GS,F,135,32,47,, ,, ,/  /,0,0,179,65,71.5,65,71.5,65,71.5,65,71.5,0,0,0,0,0,/  /,/  /,45232,45232,/  /,0, ,418863,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,187604,,AVI000086,,,10054,1,Nano,CAMPER,3040548,48-14,,, , ,0,0,,,AVI,,BS,F,135,32,47,, ,, ,/  /,0,0,179,65,71.5,65,71.5,65,71.5,65,71.5,0,0,0,0,0,/  /,44967,44966,45442,/  /,0, ,430900,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,44967.41071, ,/  /       :  :, , ,,,,F,F,,,
OPT,,197662,,AVI000121,,,10486,1,Nano,CAMPER,3041746,46-14,,, , ,0,0,,,AVI,,GS,F,135,30,443,, ,, ,/  /,0,0,179,65,71.5,65,71.5,65,71.5,65,71.5,0,0,0,0,0,/  /,/  /,45442,45442,/  /,0, ,430900,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,197023,,AVI000120,,,10458,1,Nano,CAMPER 3.0,3040346,46-14,,, , ,0,0,,,AVI,,BS,F,135,32,46,, ,, ,/  /,0,0,179,65,71.5,65,71.5,65,71.5,65,71.5,0,0,0,0,0,45393,45440,45393,45393,/  /,0, ,,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,45442.45601, ,/  /       :  :, , ,,,,F,F,,,
OPT,,190173,,AVI000088,,,10148,1,Nano,CAMPER 3.0,3041746,46-14,,, , ,0,0,,,AVI,,BS,F,135,31,46,, ,, ,/  /,0,0,179,65,71.5,65,71.5,65,71.5,65,71.5,0,0,0,0,0,/  /,45188,45062,45232,/  /,0, ,418863,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,45188.54156, ,/  /       :  :, , ,,,,F,F,,,
OPT,,195652,,AVI000113,,,10368,1,NANO,CAMPER 3.0,3042246,46-14,,, , ,0,0,,,AVI,,GS,F,135,32,46,, ,, ,/  /,0,0,179,65,71.5,45.5,50.05,45.5,50.05,45.5,50.05,0,0,0,0,0,/  /,/  /,45301,45301,/  /,0, ,422627,30,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,194759,,AVI000097,,,10298,1,Nano,Crew,3020648,48-15,,, , ,0,0,,,AVI,,BS,F,133,31,49,, ,, ,/  /,0,0,179,60,66,60,66,60,66,60,66,0,0,0,0,0,/  /,45230,45230,45246,/  /,0, ,,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,45230.43138, ,/  /       :  :, , ,,,,F,F,,,
OPT,,194843,,AVI000103,,,10304,1,Nano,CREW,3021146,46-14,,, , ,0,0,,,AVI,,BS,F,133,30,48,, ,, ,/  /,0,0,179,65,71.5,65,71.5,65,71.5,65,71.5,0,0,0,0,0,/  /,/  /,45232,45232,/  /,0, ,418863,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,195649,,AVI000110,,,10365,1,Nano,CREW,3021348,48-15,,, , ,0,0,,,AVI,,BS,F,133,32,50,, ,, ,/  /,0,0,179,65,71.5,45.5,50.05,45.5,50.05,45.5,50.05,0,0,0,0,0,/  /,/  /,45301,45301,/  /,0, ,422627,30,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,194838,,AVI000098,,,10299,1,Nano,CREW,3021946,46-14,,, , ,0,0,,,AVI,,BS,F,135,28,47,, ,, ,/  /,0,0,179,65,71.5,65,71.5,65,71.5,65,71.5,0,0,0,0,0,/  /,/  /,45232,45232,/  /,0, ,418863,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,186311,,AVI000070,,,09991,1,NANO,CREW 3.0,3020148,48-15,,, , ,0,0,,,AVI,,GS,F,133,31,49,, ,, ,/  /,0,0,169,60,66,60,66,60,66,60,66,0,0,0,0,0,/  /,/  /,44908,44908,/  /,0, ,9811,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,196156,,AVI000117,,,10382,1,NANO,CREW 3.0,3020848,48-15,,, , ,0,0,,,AVI,,GS,F,133,30,48,, ,, ,/  /,0,0,179,65,71.5,65,71.5,0,0,0,0,0,0,0,0,0,/  /,/  /,45331,45331,/  /,0, ,424617,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,198216,,AVI000131,,,10685,1,Nano,CREW CF,720244,44-16,,, , ,0,0,,,AVI,,BS,F,134,30,48,, ,, ,/  /,0,0,169,69,75.9,58.65,64.52,58.65,64.52,58.65,64.52,0,0,0,0,0,/  /,/  /,45757,45757,/  /,0, ,14684,14.99,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,198015,,AVI000123,,,10536,1,Nano,Crew CF 720444,Pink/Purple,44-16,,, , ,0,0,,,AVI,,BS,F,134,29,46,, ,, ,/  /,0,0,179,65,71.5,32.5,35.75,45.5,50.05,32.5,35.75,0,0,0,0,0,/  /,/  /,45496,45496,/  /,0, ,00001215,50,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,195645,,AVI000107,,,10362,1,Nano,CREW SLEEK,3100148,48-15,,, , ,0,0,,,AVI,,BS,F,133,32,50,, ,, ,/  /,0,0,179,65,71.5,45.5,50.05,45.5,50.05,45.5,50.05,0,0,0,0,0,/  /,/  /,45301,45301,/  /,0, ,422627,30,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,190444,,AVI000095,,,10155,1,Nano,FANGAME,3030350,50-15,,, , ,0,0,,,AVI,,BS,F,133,32,52,, ,, ,/  /,0,0,179,65,71.5,65,71.5,65,71.5,65,71.5,0,0,0,0,0,/  /,/  /,45070,45070,/  /,0, ,409786,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,195646,,AVI000108,,,10363,1,Nano,FANGAME 3.0,3031150,50-15,,, , ,0,0,,,AVI,,BS,F,133,32,52,, ,, ,/  /,0,0,179,65,71.5,45.5,50.05,45.5,50.05,45.5,50.05,0,0,0,0,0,/  /,/  /,45301,45301,/  /,0, ,422627,30,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,184358,,AVI000061,,,09894,1,Nano,FANGAME SC,611248SC,48-17,,, , ,0,0,,,AVI,,BS,F,127,32,51,, ,, ,/  /,0,0,220,50,55,50,55,50,55,50,55,0,0,0,0,0,/  /,/  /,44839,44839,/  /,0, ,396192,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,194842,,AVI000102,,,10303,1,Nano,FLICKER,3180144,44-14,,, , ,0,0,,,AVI,,GS,F,120,35,43,, ,, ,/  /,0,0,179,65,71.5,65,71.5,65,71.5,65,71.5,0,0,0,0,0,/  /,/  /,45232,45232,/  /,0, ,418863,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,194840,,AVI000100,,,10301,1,Nano,FLICKER,3180346,46-14,,, , ,0,0,,,AVI,,GS,F,132,38,46,, ,, ,/  /,0,0,179,65,71.5,65,71.5,65,71.5,65,71.5,0,0,0,0,0,/  /,/  /,45232,45232,/  /,0, ,418863,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,194841,,AVI000101,,,10302,1,Nano,FLICKER,3180648,48-15,,, , ,0,0,,,AVI,,GS,F,132,38,48,, ,, ,/  /,0,0,179,65,71.5,65,71.5,65,71.5,65,71.5,0,0,0,0,0,/  /,/  /,45232,45232,/  /,0, ,418863,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
OPT,,172422,,AVI000033,,,09479,1,Nano,Gaikai,630545,45-16,,, , ,0,0,,,AVI,,GS,F,137,33,45,, ,, ,/  /,0,0,169,60,66,60,66,60,66,60,66,0,0,0,0,0,/  /,/  /,44370,44376,/  /,0, ,428739,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
