BARCODE,LOCATION,LOCATION2,PKEY,PKEY0,FRAMENUM,FRAMENUM0,SXFRAME,QUANTITY,MANUFACT,MODEL,FCOLOUR,SIZE,FRDESC,LOCATION3,STKTAKE,CHANGE,QTYAPPRO,QTY3,SUPBARCODE,ISTOCKCODE,SUPPLIER,SUPPLIER2,FRAMETYPE,FRAMEGROUP,TEMPLE,DEPTH,DIAG,BASECURVE,SUNGRX,FROTHER,FROTHER2,REORDDATE,REORDER,REORDQTY,RRP,EXLISTPR,LISTPRICE,EXCOSTPR,COSTPRICE,EXPREVCOST,PREVCOST,EXAVGCOST,AVGCOST,DPRECOST,DPREEXCOST,WSALEET,WSALEIT,APPORDER,LASTSALE2,LASTSALE,FIRSTPUR,LASTPUR,RETURNBY,DQTY,REFRESH,LASTINV,DISPC,TAXPC,FRSTATUS,FRSTATUS2,QTYONORDER,QTYONAPPRO,PHOTOEXT,PHOTONAME,LIFESTYLE,LIFECYCLE,RELEASE,AVAILFROM,AVAILTILL,FRANGE,SPH1,SPH2,CYL1,CYL2,MINPD,BASEC,SRVCHARGE,EXLISTSRV,LISTSRV,EXRRPSRV,RRPSRV,MODKEY,ORDERAGAIN,PROSUPPLY,PSSUPFIT,PSCREATED,PSUPDATEAT,USER,MODIFIED,DELFLAG,XFER,PROVISION,PVINACTIVE,LOGSTR,FGID,SUPSTATUS,LLABORDER,LDOWNLOAD,UUID,NOTE,PHOTO
9437,OPT,,78787,,BON000272,,,1,MARS,135,C4,48-19,,,,,,,,,,,,,135,45,50,,,,,,,,189,,,25,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9433,OPT,,78788,,BON000268,,,1,MARS,176,C1,53-19,,,,,,,,,,,,,140,44,58,,,,,,,,189,,,25,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9735,OPT,,78789,,ORO000318,,,1,JONO HENNESSY,Flipside 8482,C3,53-16,,,,,,,,,,,,,,38,53,,,,,,,,250,,,10,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6530,OPT,,78790,,AUS000030,,,1,OK,4327,Cry,49-20,,,,,,,,,,,,,140,44,49,,,,,,,,149,,,5.21,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9244,OPT,,78791,,MOD000311,,,1,AVANTI,ASATO,C2,56-18,,,,,,,,,,,,,150,38,59,,,,,,,,195,,,41.66,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8966,OPT,,78792,,BON000217,,,1,AOA,8162,C2,55-17,,,,,,,,,,,,,140,38,58,,,,,,,,169,,,20,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10702,OPT,,78793,,AUS000848,,,1,CLARITY,4801,C2,55-17,,,,,,,,,,,,,145,41,61,,,,,,,,149,,,10.5,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14523,OPT,,78794,,AVI000136,,,1,NANO,XTREME,3290254,54-16,,,,,,,,,,,,,140,40,54,,,,,,,,260,,,84,,,,,,,,,,,,,,,,,,,,GST 10%,PRACTICE OWNED,,,,,,,,,23/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
11047,OPT,,78795,,AVI000148,,,1,BFLEX,B-CREATIVE,100152,52-18,,,,,,,,,,,,,140,42,52,,,,,,,,260,,,0,,,,,,,,,,,,,,,,,,,,GST 10%,PRACTICE OWNED,,,,,,,,,28/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
50,OPT,,78796,,AVI000147,,,1,BFLEX,B-UNIQUE,110554,54-15,,,,,,,,,,,,,140,38,54,,,,,,,,260,,,0,,,,,,,,,,,,,,,,,,,,GST 10%,PRACTICE OWNED,,,,,,,,,28/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
8260,OPT,,78797,,AVI000137,,,1,NANO,XTREME,3290454,54-16,,,,,,,,,,,,,140,40,54,,,,,,,,260,,,84,,,,,,,,,,,,,,,,,,,,GST 10%,PRACTICE OWNED,,,,,,,,,23/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
10093,OPT,,78798,,OPQ001242,,,1,Paparazzi,COLIN,D,58-16,,,,,,,,,,,,,140,35,61,,,,,,,,200,,,53.56,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10676,OPT,,78799,,RIM000281,,,1,EVATIK,9284,S313,57-18,,,,,,,,,,,,,145,36,58,,,,,,,,280,,,105.45,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9554,OPT,,78800,,OPQ001196,,,1,Paparazzi,Liam,D,54-16,,,,,,,,,,,,,140,32,56,,,,,,,,200,,,53.55,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4487,OPT,,78801,,OPQ000323,,,1,Paparazzi,LIAM,A,54-16,,,,,,,,,,,,,140,32,55,,,,,,,,200,,,59.5,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7092,OPT,,78802,,OPQ000800,,,1,Paparazzi,CHARLIE,A,50-17,,,,,,,,,,,,,140,36,54,,,,,,,,200,,,49.5,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10637,OPT,,78803,,OPQ001355,,,1,Paparazzi,ANDY,B,60-19,,,,,,,,,,,,,150,43,66,,,,,,,,310,,,80.57,,,,,,,,,,,,,,,,,,,,10,PO,,,,,,,,,/  /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
