BARCODE,LOCATION,LOCATION2,PKEY,PKEY0,FRAMENUM,FRAMENUM0,SXFRAME,QUANTITY,MANUFACT,MODEL,FCOLOUR,SIZE,FRDESC,LOCATION3,STKTAKE,CHANGE,QTYAPPRO,QTY3,SUPBARCODE,ISTOCKCODE,SUPPLIER,SUPPLIER2,FRAMETYPE,FRAMEGROUP,TEMPLE,DEPTH,DIAG,BASECURVE,SUNGRX,FROTHER,FROTHER2,REORDDATE,REORDER,REORDQTY,RRP,EXLISTPR,LISTPRICE,EXCOSTPR,COSTPRICE,EXPREVCOST,PREVCOST,EXAVGCOST,AVGCOST,DPRECOST,DPREEXCOST,WSALEET,WSALEIT,APPORDER,LASTSALE2,LASTSALE,FIRSTPUR,LASTPUR,RETURNBY,DQTY,REFRESH,LASTINV,DISPC,TAXPC,FRSTATUS,FRSTATUS2,QTYONORDER,QTYONAPPRO,PHOTOEXT,PHOTONAME,LIFESTYLE,LIFECYCLE,RELEASE,AVAILFROM,AVAILTILL,FRANGE,SPH1,SPH2,CYL1,CYL2,MINPD,BASEC,SRVCHARGE,EXLISTSRV,LISTSRV,EXRRPSRV,RRPSRV,MODKEY,ORDERAGAIN,PROSUPPLY,PSSUPFIT,PSCREATED,PSUPDATEAT,USER,MODIFIED,DELFLAG,XFER,PROVISION,PVINACTIVE,LOGSTR,FGID,SUPSTATUS,LLABORDER,LDOWNLOAD,UUID,NOTE,PHOTO
10488,OPT,,197706,,OPQ001319,,,1,Aiko,2206,C,53-18,,, , ,0,0,,,OPQ,,MM,F,140,38,55,, ,, ,/  /,0,0,$290.00,97.5,107.25,87.75,96.53,87.75,96.53,87.75,96.53,0,0,0,0,0,/  /,/  /,45448,45448,/  /,0, ,493835,10,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
10493,OPT,,197712,,OPQ001324,,,1,Aiko,2207,A,56-16,,, , ,0,0,,,OPQ,,MM,F,145,36,57,, ,, ,/  /,0,0,$290.00,97.5,107.25,87.75,96.53,87.75,96.53,87.75,96.53,0,0,0,0,0,/  /,/  /,45448,45448,/  /,0, ,493835,10,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
10491,OPT,,197710,,OPQ001322,,,1,Aiko,2208,B,56-19,,, , ,0,0,,,OPQ,,MM,F,145,40,58,, ,, ,/  /,0,0,$290.00,97.5,107.25,87.75,96.53,87.75,96.53,87.75,96.53,0,0,0,0,0,/  /,/  /,45448,45448,/  /,0, ,493835,10,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
10490,OPT,,197709,,OPQ001321,,,1,Aiko,2208,C,56-19,,, , ,0,0,,,OPQ,,MM,F,145,40,58,, ,, ,/  /,0,0,$290.00,97.5,107.25,87.75,96.53,87.75,96.53,87.75,96.53,0,0,0,0,0,/  /,/  /,45448,45448,/  /,0, ,493835,10,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
10497,OPT,,197716,,OPQ001328,,,1,Aiko,2212,A,46-23,,, , ,0,0,,,OPQ,,US,F,145,42,46,, ,, ,/  /,0,0,$290.00,97.5,107.25,87.75,96.53,87.75,96.53,87.75,96.53,0,0,0,0,0,/  /,/  /,45448,45448,/  /,0, ,493835,10,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
10487,OPT,,197705,,OPQ001318,,,1,Aiko,2212,B,45-22,,, , ,0,0,,,OPQ,,UM,F,145,41,47,, ,, ,/  /,0,0,$290.00,97.5,107.25,87.75,96.53,87.75,96.53,87.75,96.53,0,0,0,0,0,/  /,/  /,45448,45448,/  /,0, ,493835,10,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
10495,OPT,,197714,,OPQ001326,,,1,Aiko,2219,B,51-19,,, , ,0,0,,,OPQ,,US,F,135,45,50,, ,, ,/  /,0,0,$290.00,97.5,107.25,87.75,96.53,87.75,96.53,87.75,96.53,0,0,0,0,0,/  /,/  /,45448,45448,/  /,0, ,493835,10,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
10498,OPT,,197721,,OPQ001329,,,1,Aiko,229,C,56-15,,, , ,0,0,,,OPQ,,MM,F,140,40,57,, ,, ,/  /,0,0,$290.00,97.5,107.25,87.75,96.53,87.75,96.53,87.75,96.53,0,0,0,0,0,/  /,/  /,45448,45448,/  /,0, ,493835,10,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
10704,OPT,,198238,,AUS000850,,,1,ALOHA,VB245,C1,65-18,,, , ,0,0,,,AUS,,LS,F,145,43,57,, ,, ,/  /,0,0,$189.00,32.5,35.75,32.5,35.75,32.5,35.75,32.5,35.75,0,0,0,0,0,/  /,/  /,45796,45796,/  /,0, ,,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
10705,OPT,,198239,,AUS000851,,,1,ALOHA,VB245,C2,56-18,,, , ,0,0,,,AUS,,LS,F,145,47,57,, ,, ,/  /,0,0,$189.00,32.5,35.75,32.5,35.75,32.5,35.75,32.5,35.75,0,0,0,0,0,/  /,/  /,45796,45796,/  /,0, ,,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
10708,OPT,,198242,,AUS000854,,,1,ALOHA,VB246,C1,53-18,,, , ,0,0,,,AUS,,LS,F,145,47,52,, ,, ,/  /,0,0,$189.00,32.5,35.75,32.5,35.75,32.5,35.75,32.5,35.75,0,0,0,0,0,/  /,/  /,45796,45796,/  /,0, ,,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
10707,OPT,,198241,,AUS000853,,,1,ALOHA,VB246,C2,53-18,,, , ,0,0,,,AUS,,LS,F,145,47,52,, ,, ,/  /,0,0,$189.00,32.5,35.75,32.5,35.75,32.5,35.75,32.5,35.75,0,0,0,0,0,/  /,/  /,45796,45796,/  /,0, ,,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
10706,OPT,,198240,,AUS000852,,,2,ALOHA,VB246,C3,53-18,,, , ,0,0,,,AUS,,LS,F,145,47,52,, ,, ,/  /,0,0,$189.00,32.5,35.75,32.5,35.75,32.5,35.75,32.5,35.75,0,0,0,0,0,/  /,/  /,45796,45796,/  /,0, ,,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
10709,OPT,,198243,,AUS000855,,,1,ALOHA,VB247,5219145,52-19,,, , ,0,0,,,AUS,,LS,F,145,44,52,, ,, ,/  /,0,0,$189.00,32.5,35.75,32.5,35.75,32.5,35.75,32.5,35.75,0,0,0,0,0,/  /,/  /,45796,45796,/  /,0, ,,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
8967,OPT,,161444,,BON000218,,,3,AOA,8160,C3,52-17,,, , ,0,0,,,BON,,LM, ,140,36,52,, ,, ,/  /,0,0,$169.00,20,22,20,22,20,22,20,22,0,0,0,0,0,/  /,43913,43788,45320,/  /,0, ,,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,43913.65295, ,/  /       :  :, , ,,,,F,F,,,
8966,OPT,,161443,,BON000217,,,1,AOA,8162,C2,55-17,,, , ,0,0,,,BON,,MM, ,140,38,58,, ,, ,/  /,0,0,$169.00,20,22,20,22,20,22,20,22,0,0,0,0,0,/  /,44707,43788,43788,/  /,0, ,844432,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,44707.58571, ,/  /       :  :, , ,,,,F,F,,,
9444,OPT,,172007,,BON000279,,,1,AOA,8168,C2,54-16,,, , ,0,0,,,BON,,LR, ,138,43,58,, ,, ,/  /,0,0,$269.00,20,22,20,22,20,22,20,22,0,0,0,0,0,/  /,/  /,44340,44782,/  /,0, ,,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
9445,OPT,,172008,,BON000280,,,1,AOA,8172,C2,55-18,,, , ,0,0,,,BON,,LR, ,145,40,56,, ,, ,/  /,0,0,$269.00,20,22,20,22,20,22,20,22,0,0,0,0,0,/  /,/  /,44340,44782,/  /,0, ,,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
9179,OPT,,166854,,BON000252,,,1,AOA,8211,C2,49-17,,, , ,0,0,,,BON,,LS, ,140,34,49,, ,, ,/  /,0,0,$169.00,20,22,20,22,20,22,20,22,0,0,0,0,0,/  /,/  /,44076,44076,/  /,0, ,902711,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
9453,OPT,,172016,,BON000288,,,1,AOA,8227,C3,53-18,,, , ,0,0,,,BON,,MS, ,145,38,57,, ,, ,/  /,0,0,$169.00,20,22,20,22,20,22,20,22,0,0,0,0,0,/  /,/  /,44340,45222,/  /,0, ,,0,10,PO,,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,/  /       :  :, ,/  /       :  :, , ,,,,F,F,,,
7781,OPT,,144149,,000000029,,,2,Apollo,1012,62398,50-19,,, , ,0,0,,,,,GS,F,125,26,51,, ,, ,/  /,0,0,$80.00,0,0,0,0,0,0,0,0,0,0,0,0,0,45433,45455,42800,42802,/  /,0, ,,0,10,CO,DE,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,45455.41042, ,/  /       :  :, , ,,,,F,F,,,
7662,OPT,FR,143006,,000000025,,,2,Apollo,1013,40193,40-19,,, , ,0,0,,,,,GS,F,125,30,42,, ,, ,/  /,0,0,$80.00,0,0,0,0,0,0,0,0,0,0,0,0,0,44398,44539,42696,45091,/  /,0, ,,0,10,CO,DE,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,44539.40561, ,/  /       :  :, , ,,,,F,F,,,
7665,OPT,FR,143009,,000000026,,,3,Apollo,1014,BLUE,43-16,,, , ,0,0,,,,,BS,F,120,25,42,, ,, ,/  /,0,0,$80.00,0,0,0,0,0,0,0,0,0,0,0,0,0,44203,45272,42696,45547,/  /,0, ,,0,10,PO,DE,0,0,,,,,/  /,/  /,/  /,F,,,,,,,F,0,0,0,0,0, , , ,F,/  /,,45272.53806, ,/  /       :  :, , ,,,,F,F,,,
